"realInteractionDistance" "loessExpectedValue" "loggendist" "loginteraction"
"1" 40000 896.574128418371 4.60205999132796 0
"2" 80000 834.817763095453 4.90308998699194 -0.0309945213622371
"3" 120000 774.666973043798 5.07918124604763 -0.0634711619302422
"4" 160000 716.028685535262 5.20411998265593 -0.0976557813320138
"5" 200000 658.639453773238 5.30102999566398 -0.133938460458376
"6" 240000 602.207783437811 5.38021124171161 -0.172839838291653
"7" 280000 546.5024860992 5.44715803134222 -0.214994060747314
"8" 320000 491.442087508923 5.50514997831991 -0.261113855613066
"9" 360000 437.308392253144 5.55630250076729 -0.311798390851393
"10" 400000 382.508523837039 5.60205999132796 -0.369945085255213
"11" 440000 344.363772572314 5.64345267648619 -0.415568745737662
"12" 480000 312.778397216195 5.68124123737559 -0.457349452847868
"13" 520000 285.922475668768 5.7160033436348 -0.496337907160015
"14" 560000 263.081715201617 5.7481880270062 -0.53249553804435
"15" 600000 242.712518066343 5.77815125038364 -0.567494026741834
"16" 640000 224.836954147444 5.80617997398389 -0.600718509390531
"17" 680000 209.08235672863 5.83250891270624 -0.632268815968692
"18" 720000 195.329160803366 5.85733249643127 -0.661819118487945
"19" 760000 182.790282465306 5.88081359228079 -0.690633098731641
"20" 800000 171.360919132216 5.90308998699194 -0.718674419761723
"21" 840000 161.058109766517 5.92427928606188 -0.74560360493372
"22" 880000 151.635260856761 5.94448267215017 -0.771785999976815
"23" 920000 143.095550323542 5.96378782734556 -0.796960073472669
"24" 960000 135.28293726474 5.98227123303957 -0.821343178591325
"25" 1000000 128.362132742567 6 -0.844149278384703
"26" 1040000 122.079292587599 6.01703333929878 -0.86594419867677
"27" 1080000 116.272917193905 6.03342375548695 -0.887107633988994
"28" 1120000 110.916223058198 6.04921802267018 -0.907591130216801
"29" 1160000 105.99012247221 6.06445798922692 -0.927320808705698
"30" 1200000 101.481492833476 6.07918124604763 -0.946199355447565
"31" 1240000 97.2041327838678 6.09342168516223 -0.964901472670708
