"realInteractionDistance" "loessExpectedValue" "loggendist" "loginteraction"
"1" 40000 1634.06169764528 4.60205999132796 0
"2" 80000 1431.50689198341 4.90308998699194 -0.0574750069916693
"3" 120000 1238.1145687181 5.07918124604763 -0.120507616354558
"4" 160000 1051.29251996951 5.20411998265593 -0.191544875878381
"5" 200000 870.650966617584 5.30102999566398 -0.273424363742108
"6" 240000 711.636342571057 5.38021124171161 -0.361010331291034
"7" 280000 602.031312590447 5.44715803134222 -0.433649370082394
"8" 320000 521.550829491992 5.50514997831991 -0.495971809807076
"9" 360000 460.898658492459 5.55630250076729 -0.549663006209271
"10" 400000 411.799298879264 5.60205999132796 -0.598582847401039
"11" 440000 371.125818412759 5.64345267648619 -0.643747281944633
"12" 480000 336.68173507873 5.68124123737559 -0.686048893630547
"13" 520000 307.684130491659 5.7160033436348 -0.725163353163006
"14" 560000 282.457343938023 5.7481880270062 -0.762315579315064
"15" 600000 260.432974912273 5.77815125038364 -0.797572478370878
"16" 640000 241.477773275216 5.80617997398389 -0.830391287797381
"17" 680000 224.159241100124 5.83250891270624 -0.862711802639887
"18" 720000 208.365768242998 5.85733249643127 -0.894442078650531
"19" 760000 194.703057052658 5.88081359228079 -0.92389567978738
"20" 800000 181.925228727377 5.90308998699194 -0.953375520648059
"21" 840000 170.43302374849 5.92427928606188 -0.981714701134274
"22" 880000 159.713480580765 5.94448267215017 -1.00992687604852
"23" 920000 149.719734298991 5.96378782734556 -1.03798940254332
"24" 960000 140.666188583053 5.98227123303957 -1.0650787300597
"25" 1000000 132.835977679101 6 -1.08995273372987
"26" 1040000 125.667935089627 6.01703333929878 -1.11404397122544
"27" 1080000 118.870569493498 6.03342375548695 -1.13819410690342
"28" 1120000 113.047526710585 6.04921802267018 -1.16000738510935
"29" 1160000 107.919670739708 6.06445798922692 -1.18016783861916
"30" 1200000 103.27620303724 6.07918124604763 -1.1992681876032
"31" 1240000 98.76344461419 6.09342168516223 -1.2186722216678
"32" 1280000 94.465863974409 6.10720996964787 -1.23799354932857
"33" 1320000 90.4506072751402 6.12057393120585 -1.25685696325351
"34" 1360000 86.5802135465892 6.13353890837022 -1.27584979761492
"35" 1400000 82.9746191261396 6.14612803567824 -1.29432318269614
"36" 1440000 79.1071224100148 6.15836249209525 -1.31505286330004
"37" 1480000 75.9141518219633 6.17026171539496 -1.33294570618212
"38" 1520000 72.8657889264059 6.18184358794477 -1.35074477884277
"39" 1560000 70.0006179345494 6.19312459835446 -1.368166576472
"40" 1600000 67.4641431026652 6.20411998265593 -1.38419544173229
"41" 1640000 65.0682108797358 6.2148438480477 -1.3998995847578
"42" 1680000 62.6599989884909 6.22530928172586 -1.41627806672818
"43" 1720000 60.3952532291804 6.23552844690755 -1.43226564371788
"44" 1760000 58.4298752682826 6.24551266781415 -1.44663349105117
"45" 1800000 56.5337828617171 6.25527250510331 -1.46096040375572
"46" 1840000 54.6406950379886 6.26481782300954 -1.47575223526235
"47" 1880000 52.8650296620331 6.27415784926368 -1.49009997004193
"48" 1920000 51.3422477121732 6.28330122870355 -1.50279357253414
"49" 1960000 49.7901013943717 6.29225607135648 -1.5161254395737
"50" 2000000 48.493599220453 6.30102999566398 -1.52758403138636
"51" 2040000 47.2291873641305 6.3096301674259 -1.53905797718929
"52" 2080000 46.1272873403991 6.31806333496276 -1.54931053495111
"53" 2120000 45.0500690872519 6.32633586092875 -1.5595729889283
"54" 2160000 43.9912399395584 6.33445375115093 -1.5699022470651
"55" 2200000 42.9377007351873 6.34242268082221 -1.58042966551352
"56" 2240000 42.1709889665195 6.35024801833416 -1.58825466433799
"57" 2280000 41.3884252053314 6.35793484700045 -1.59638954808672
"58" 2320000 40.6749467659136 6.3654879848909 -1.60394145704477
"59" 2360000 39.7026915142684 6.37291200297011 -1.61444850092639
"60" 2400000 38.862033946029 6.38021124171161 -1.62374292346872
"61" 2440000 38.0884119800222 6.38738982633873 -1.63247558426247
"62" 2480000 37.3234990078339 6.39445168082622 -1.64128609898924
"63" 2520000 36.64133254559 6.40140054078154 -1.64929719087121
"64" 2560000 36.0182022122195 6.40823996531185 -1.65674641831481
"65" 2600000 35.3323902590217 6.41497334797082 -1.66509543153223
"66" 2640000 34.7557063477901 6.42160392686983 -1.67224233106643
"67" 2680000 34.3866585022212 6.42813479402879 -1.67687847463168
"68" 2720000 34.171132555472 6.4345689040342 -1.67960907712896
"69" 2760000 33.5818543425671 6.44090908206522 -1.68716377667106
"70" 2800000 33.0355176191997 6.44715803134222 -1.69428733429357
"71" 2840000 32.549254110247 6.45331834004704 -1.70072740941776
"72" 2880000 32.1153063178592 6.45939248775923 -1.70655638156452
"73" 2920000 31.6472591894782 6.46538285144842 -1.71293234634981
"74" 2960000 31.0832733574087 6.47129171105894 -1.72074170248292
"75" 3000000 30.5025357911423 6.47712125471966 -1.72893250487298
"76" 3040000 29.9679635530494 6.48287358360875 -1.73661121841933
"77" 3080000 29.3338035790144 6.48855071650044 -1.74590007066895
"78" 3120000 28.64761585839 6.49415459401844 -1.75617996576179
"79" 3160000 28.0427988708541 6.4996870826184 -1.76544709312592
"80" 3200000 27.520060435274 6.50514997831991 -1.77361906696865
"81" 3240000 27.0294325230737 6.51054501020661 -1.78143152238478
"82" 3280000 26.5620006236268 6.51587384371168 -1.7890076677042
"83" 3320000 25.9927149185411 6.52113808370404 -1.79841680667737
"84" 3360000 25.5007342577497 6.52633927738984 -1.80671576475082
"85" 3400000 25.0996563693046 6.53147891704226 -1.8136006745166
"86" 3440000 24.6721039088932 6.53655844257153 -1.82106226481623
"87" 3480000 24.2937333441439 6.54157924394658 -1.82777419004127
"88" 3520000 23.8145407104847 6.54654266347813 -1.83642624017976
"89" 3560000 23.3753821778386 6.55144999797287 -1.84450973012522
"90" 3600000 23.0395898221504 6.55630250076729 -1.85079370726379
"91" 3640000 22.6754739996587 6.56110138364906 -1.85771207610609
"92" 3680000 22.28565722286 6.56584781867352 -1.86524300394088
"93" 3720000 21.8734935914783 6.5705429398819 -1.87335029702299
"94" 3760000 21.5133943701103 6.57518784492766 -1.88055951175355
"95" 3800000 21.1311257583458 6.57978359661681 -1.88834581560485
"96" 3840000 20.7871957954082 6.58433122436753 -1.89547254355412
"97" 3880000 20.4075744830595 6.58883172559421 -1.90347706001154
"98" 3920000 19.9884315883845 6.59328606702046 -1.91248973214465
"99" 3960000 19.6817180675301 6.59769518592551 -1.91920544383648
"100" 4000000 19.3198213745701 6.60205999132796 -1.92726534352512
"101" 4040000 18.9582481295141 6.6063813651106 -1.93547024715753
"102" 4080000 18.6176188220826 6.61066016308988 -1.94334431596793
"103" 4120000 18.2374680184263 6.61489721603313 -1.95230390694808
"104" 4160000 17.9114819103798 6.61909333062674 -1.96013693147851
"105" 4200000 17.6094444996093 6.6232492903979 -1.96752279415726
